60000000,-19.58333,17.91667,#707160
58200000,76.13333,-64.93333,#dbe6e7
50000000,-27.46667,-60.58333,#7e806e
30000000,35.05,-111.03333,#8b7158
28000000,47,88,#aca678
26000000,-25.5,18,#d0ae97
24300000,27,-105.1,#7f7969
24000000,-30.78333,127.55,#7d7f7a
23000000,46.16,134.65333,#2a432c
22000000,26.2,-107.83333,#597064
16000000,-9.11667,33.06667,#394f46
15500000,45.36667,-122.58333,#313734
10100000,27.05,-105.43333,#9c806a
9500000,25.1,107.7,#314c2f
8600000,-38.1,145.3,#6e7254
7000000,-26.21667,-48.6,#526b65
5360000,-10.11667,-39.2,#5d6a50
4300000,37.5825,-99.16361,#74715c
4000000,44.05,126.16667,#404f42
3828000,-25.75,-70.5,#786355
3000000,19.56667,-99.56667,#263323
3000000,36.3,120.48333,#908e86
3000000,27.5,-12.5,#bca7a4
2753000,34.46667,-115.23333,#64624e
2550000,21.49972,50.47222,#837f77
2300000,-22.36667,135.76667,#96673d
2184000,35.33333,-109.5,#887a67
2100000,28.7,-102.73333,#dcc8ae
2000000,-24.56667,133.16667,#aa8a76
2000000,26.96667,-105.31667,#9f8d7d
2000000,-14.258,-49.15917,#60705e
1918000,-16.26667,-47.95,#425339
1750000,19.22778,56.14278,#af947c
1600000,31.71667,-102.4,#8f836c
1600000,22.01833,26.08778,#dea77b
1545000,30.4,-107.8,#89725d
1500000,49.96667,6.53333,#c2c3c0
1450000,38.08333,-115.53333,#90856e
1400000,23.08333,-101.01667,#6e6f61
1316000,19.21667,-98.3,#44583c
1225300,48.7,45.7,#6c6657
1200000,20.6,44.88333,#d4bb9a
1173000,-33.61667,24,#42433c
1169500,41.98,-120.54167,#4b4538
1143000,-29.58333,139.9,#a18c6b
1100000,39.68333,-99.86667,#aca08b
1100000,42.25,59.2,#6a6853
1003000,44.43333,87.63333,#b2a896
1000000,67.3,160.8,#596056
997000,-29.41667,-66.85,#9d958f
975000,31.85,-110.96667,#878475
960000,35.78333,-83.25,#2d4232
920000,-24.20333,-68.80667,#c7a693
888600,13.51667,122.45,#3e5841
825000,5.91667,-73,#46533b
823000,52.5,30.33333,#264137
800000,32,-95,#2a452b
800000,32.94889,-81.865,#3e4a39
760000,-19.3,127.76667,#826554
755000,-42.9,-71.33333,#203327
736600,-23.9,151.3,#385042
734000,-29.45,119.71667,#504638
700000,54.9,91.8,#2c4734
700000,34.11667,-101.78333,#796c58
700000,32.2,87.8,#164442
689000,30.75,-104.25,#656653
683000,30.33333,-109.98333,#74695b
628000,-15.58333,-50.15,#343f36
